source,target,rate,type
H8|Compromised,H13|Compromised,0.008,spatial
H8|Compromised,H14|Compromised,0.008,spatial
H8|Compromised,H15|Compromised,0.008,spatial
H8|Compromised,H16|Compromised,0.008,spatial
H8|Compromised,H17|Compromised,0.008,spatial
H8|Compromised,H18|Compromised,0.008,spatial
H8|Compromised,H19|Compromised,0.008,spatial
H8|Compromised,H20|Compromised,0.008,spatial
H8|Compromised,H21|Compromised,0.008,spatial
H8|Compromised,H22|Compromised,0.008,spatial
H8|Compromised,H23|Compromised,0.008,spatial
H8|Compromised,H24|Compromised,0.008,spatial
H8|Compromised,H25|Compromised,0.008,spatial
H8|Compromised,H26|Compromised,0.008,spatial
H8|Compromised,H27|Compromised,0.008,spatial
H8|Compromised,H28|Compromised,0.008,spatial
H8|Compromised,H29|Compromised,0.008,spatial
H8|Compromised,H30|Compromised,0.008,spatial
H8|Compromised,H31|Compromised,0.008,spatial
H8|Compromised,H32|Compromised,0.008,spatial
H8|Compromised,H33|Compromised,0.008,spatial
H8|Compromised,H34|Compromised,0.008,spatial
H8|Compromised,H35|Compromised,0.008,spatial
H8|Compromised,H36|Compromised,0.008,spatial
H8|Compromised,H37|Compromised,0.008,spatial
H8|Compromised,H38|Compromised,0.008,spatial
H9|Normal,H9|Compromised,0.02020270731751945,internal
H9|Compromised,H9|Down,0.051293294387550536,internal
H9|Down,H9|Mitigated,0.051293294387550536,internal
H9|Mitigated,H9|Recovered,0.051293294387550536,internal
H9|Compromised,H0|Compromised,0.008,spatial
H9|Compromised,H1|Compromised,0.008,spatial
H9|Compromised,H2|Compromised,0.008,spatial
H9|Compromised,H3|Compromised,0.008,spatial
H9|Compromised,H4|Compromised,0.008,spatial
H9|Compromised,H5|Compromised,0.008,spatial
H9|Compromised,H6|Compromised,0.008,spatial
H9|Compromised,H7|Compromised,0.008,spatial
H9|Compromised,H8|Compromised,0.008,spatial
H9|Compromised,H10|Compromised,0.008,spatial
H9|Compromised,H11|Compromised,0.008,spatial
H9|Compromised,H12|Compromised,0.008,spatial
H9|Compromised,H13|Compromised,0.008,spatial
H9|Compromised,H14|Compromised,0.008,spatial
H9|Compromised,H15|Compromised,0.008,spatial
H9|Compromised,H16|Compromised,0.008,spatial
H9|Compromised,H17|Compromised,0.008,spatial
H9|Compromised,H18|Compromised,0.008,spatial
H9|Compromised,H19|Compromised,0.008,spatial
H9|Compromised,H20|Compromised,0.008,spatial
H9|Compromised,H21|Compromised,0.008,spatial
H9|Compromised,H22|Compromised,0.008,spatial
H9|Compromised,H23|Compromised,0.008,spatial
H9|Compromised,H24|Compromised,0.008,spatial
H9|Compromised,H25|Compromised,0.008,spatial
H9|Compromised,H26|Compromised,0.008,spatial
H9|Compromised,H27|Compromised,0.008,spatial
H9|Compromised,H28|Compromised,0.008,spatial
H9|Compromised,H29|Compromised,0.008,spatial
H9|Compromised,H30|Compromised,0.008,spatial
H9|Compromised,H31|Compromised,0.008,spatial
H9|Compromised,H32|Compromised,0.008,spatial
H9|Compromised,H33|Compromised,0.008,spatial
H9|Compromised,H34|Compromised,0.008,spatial
H9|Compromised,H35|Compromised,0.008,spatial
H9|Compromised,H36|Compromised,0.008,spatial
H9|Compromised,H37|Compromised,0.008,spatial
H9|Compromised,H38|Compromised,0.008,spatial
H10|Normal,H10|Compromised,0.02020270731751945,internal
H10|Compromised,H10|Down,0.051293294387550536,internal
H10|Down,H10|Mitigated,0.051293294387550536,internal
H10|Mitigated,H10|Recovered,0.051293294387550536,internal
H10|Compromised,H0|Compromised,0.008,spatial
H10|Compromised,H1|Compromised,0.008,spatial
H10|Compromised,H2|Compromised,0.008,spatial
H10|Compromised,H3|Compromised,0.008,spatial
H10|Compromised,H4|Compromised,0.008,spatial
H10|Compromised,H5|Compromised,0.008,spatial
H10|Compromised,H6|Compromised,0.008,spatial
H10|Compromised,H7|Compromised,0.008,spatial
H10|Compromised,H8|Compromised,0.008,spatial
H10|Compromised,H9|Compromised,0.008,spatial
H10|Compromised,H11|Compromised,0.008,spatial
H10|Compromised,H12|Compromised,0.008,spatial
H10|Compromised,H13|Compromised,0.008,spatial
H10|Compromised,H14|Compromised,0.008,spatial
H10|Compromised,H15|Compromised,0.008,spatial
H10|Compromised,H16|Compromised,0.008,spatial
H10|Compromised,H17|Compromised,0.008,spatial
H10|Compromised,H18|Compromised,0.008,spatial
H10|Compromised,H19|Compromised,0.008,spatial
H10|Compromised,H20|Compromised,0.008,spatial
H10|Compromised,H21|Compromised,0.008,spatial
H10|Compromised,H22|Compromised,0.008,spatial
H10|Compromised,H23|Compromised,0.008,spatial
H10|Compromised,H24|Compromised,0.008,spatial
H10|Compromised,H25|Compromised,0.008,spatial
H10|Compromised,H26|Compromised,0.008,spatial
H10|Compromised,H27|Compromised,0.008,spatial
H10|Compromised,H28|Compromised,0.008,spatial
H10|Compromised,H29|Compromised,0.008,spatial
H10|Compromised,H30|Compromised,0.008,spatial
H10|Compromised,H31|Compromised,0.008,spatial
H10|Compromised,H32|Compromised,0.008,spatial
H10|Compromised,H33|Compromised,0.008,spatial
H10|Compromised,H34|Compromised,0.008,spatial
H10|Compromised,H35|Compromised,0.008,spatial
H10|Compromised,H36|Compromised,0.008,spatial
H10|Compromised,H37|Compromised,0.008,spatial
H10|Compromised,H38|Compromised,0.008,spatial
H11|Normal,H11|Compromised,0.02020270731751945,internal
H11|Compromised,H11|Down,0.051293294387550536,internal
H11|Down,H11|Mitigated,0.051293294387550536,internal
H11|Mitigated,H11|Recovered,0.051293294387550536,internal
H11|Compromised,H0|Compromised,0.008,spatial
H11|Compromised,H1|Compromised,0.008,spatial
H11|Compromised,H2|Compromised,0.008,spatial
H11|Compromised,H3|Compromised,0.008,spatial
H11|Compromised,H4|Compromised,0.008,spatial
H11|Compromised,H5|Compromised,0.008,spatial
H11|Compromised,H6|Compromised,0.008,spatial
H11|Compromised,H7|Compromised,0.008,spatial
H11|Compromised,H8|Compromised,0.008,spatial
H11|Compromised,H9|Compromised,0.008,spatial
H11|Compromised,H10|Compromised,0.008,spatial
H11|Compromised,H12|Compromised,0.008,spatial
H11|Compromised,H13|Compromised,0.008,spatial
H11|Compromised,H14|Compromised,0.008,spatial
H11|Compromised,H15|Compromised,0.008,spatial
H11|Compromised,H16|Compromised,0.008,spatial
H11|Compromised,H17|Compromised,0.008,spatial
H11|Compromised,H18|Compromised,0.008,spatial
H11|Compromised,H19|Compromised,0.008,spatial
H11|Compromised,H20|Compromised,0.008,spatial
H11|Compromised,H21|Compromised,0.008,spatial
H11|Compromised,H22|Compromised,0.008,spatial
H11|Compromised,H23|Compromised,0.008,spatial
H11|Compromised,H24|Compromised,0.008,spatial
H11|Compromised,H25|Compromised,0.008,spatial
H11|Compromised,H26|Compromised,0.008,spatial
H11|Compromised,H27|Compromised,0.008,spatial
H11|Compromised,H28|Compromised,0.008,spatial
H11|Compromised,H29|Compromised,0.008,spatial
H11|Compromised,H30|Compromised,0.008,spatial
H11|Compromised,H31|Compromised,0.008,spatial
H11|Compromised,H32|Compromised,0.008,spatial
H11|Compromised,H33|Compromised,0.008,spatial
H11|Compromised,H34|Compromised,0.008,spatial
H11|Compromised,H35|Compromised,0.008,spatial
H11|Compromised,H36|Compromised,0.008,spatial
H11|Compromised,H37|Compromised,0.008,spatial
H11|Compromised,H38|Compromised,0.008,spatial
H12|Normal,H12|Compromised,0.02020270731751945,internal
H12|Compromised,H12|Down,0.051293294387550536,internal
H12|Down,H12|Mitigated,0.051293294387550536,internal
H12|Mitigated,H12|Recovered,0.051293294387550536,internal
H12|Compromised,H0|Compromised,0.008,spatial
H12|Compromised,H1|Compromised,0.008,spatial
H12|Compromised,H2|Compromised,0.008,spatial
H12|Compromised,H3|Compromised,0.008,spatial
H12|Compromised,H4|Compromised,0.008,spatial
H12|Compromised,H5|Compromised,0.008,spatial
H12|Compromised,H6|Compromised,0.008,spatial
H12|Compromised,H7|Compromised,0.008,spatial
H12|Compromised,H8|Compromised,0.008,spatial
H12|Compromised,H9|Compromised,0.008,spatial
H12|Compromised,H10|Compromised,0.008,spatial
H12|Compromised,H11|Compromised,0.008,spatial
H12|Compromised,H13|Compromised,0.008,spatial
H12|Compromised,H14|Compromised,0.008,spatial
H12|Compromised,H15|Compromised,0.008,spatial
H12|Compromised,H16|Compromised,0.008,spatial
H12|Compromised,H17|Compromised,0.008,spatial
H12|Compromised,H18|Compromised,0.008,spatial
H12|Compromised,H19|Compromised,0.008,spatial
H12|Compromised,H20|Compromised,0.008,spatial
H12|Compromised,H21|Compromised,0.008,spatial
H12|Compromised,H22|Compromised,0.008,spatial
H12|Compromised,H23|Compromised,0.008,spatial
H12|Compromised,H24|Compromised,0.008,spatial
H12|Compromised,H25|Compromised,0.008,spatial
H12|Compromised,H26|Compromised,0.008,spatial
H12|Compromised,H27|Compromised,0.008,spatial
H12|Compromised,H28|Compromised,0.008,spatial
H12|Compromised,H29|Compromised,0.008,spatial
H12|Compromised,H30|Compromised,0.008,spatial
H12|Compromised,H31|Compromised,0.008,spatial
H12|Compromised,H32|Compromised,0.008,spatial
H12|Compromised,H33|Compromised,0.008,spatial
H12|Compromised,H34|Compromised,0.008,spatial
H12|Compromised,H35|Compromised,0.008,spatial
H12|Compromised,H36|Compromised,0.008,spatial
H12|Compromised,H37|Compromised,0.008,spatial
H12|Compromised,H38|Compromised,0.008,spatial
H13|Normal,H13|Compromised,0.02020270731751945,internal
H13|Compromised,H13|Down,0.051293294387550536,internal
H13|Down,H13|Mitigated,0.051293294387550536,internal
H13|Mitigated,H13|Recovered,0.051293294387550536,internal
H13|Compromised,H0|Compromised,0.008,spatial
H13|Compromised,H1|Compromised,0.008,spatial
H13|Compromised,H2|Compromised,0.008,spatial
H13|Compromised,H3|Compromised,0.008,spatial
H13|Compromised,H4|Compromised,0.008,spatial
H13|Compromised,H5|Compromised,0.008,spatial
H13|Compromised,H6|Compromised,0.008,spatial
H13|Compromised,H7|Compromised,0.008,spatial
H13|Compromised,H8|Compromised,0.008,spatial
H13|Compromised,H9|Compromised,0.008,spatial
H13|Compromised,H10|Compromised,0.008,spatial
H13|Compromised,H11|Compromised,0.008,spatial
H13|Compromised,H12|Compromised,0.008,spatial
H13|Compromised,H14|Compromised,0.008,spatial
H13|Compromised,H15|Compromised,0.008,spatial
H13|Compromised,H16|Compromised,0.008,spatial
H13|Compromised,H17|Compromised,0.008,spatial
H13|Compromised,H18|Compromised,0.008,spatial
H13|Compromised,H19|Compromised,0.008,spatial
H13|Compromised,H20|Compromised,0.008,spatial
H13|Compromised,H21|Compromised,0.008,spatial
H13|Compromised,H22|Compromised,0.008,spatial
H13|Compromised,H23|Compromised,0.008,spatial
