source,target,rate,type
H2|Compromised,H109|Compromised,0.02,spatial
H2|Compromised,H110|Compromised,0.02,spatial
H2|Compromised,H111|Compromised,0.02,spatial
H2|Compromised,H112|Compromised,0.02,spatial
H2|Compromised,H113|Compromised,0.02,spatial
H2|Compromised,H114|Compromised,0.02,spatial
H2|Compromised,H115|Compromised,0.02,spatial
H2|Compromised,H116|Compromised,0.02,spatial
H2|Compromised,H117|Compromised,0.02,spatial
H2|Compromised,H118|Compromised,0.02,spatial
H2|Compromised,H119|Compromised,0.02,spatial
H2|Compromised,H120|Compromised,0.02,spatial
H2|Compromised,H121|Compromised,0.02,spatial
H2|Compromised,H122|Compromised,0.02,spatial
H2|Compromised,H123|Compromised,0.02,spatial
H2|Compromised,H124|Compromised,0.02,spatial
H2|Compromised,H125|Compromised,0.02,spatial
H2|Compromised,H126|Compromised,0.02,spatial
H2|Compromised,H127|Compromised,0.02,spatial
H2|Compromised,H128|Compromised,0.02,spatial
H2|Compromised,H129|Compromised,0.02,spatial
H2|Compromised,H130|Compromised,0.02,spatial
H2|Compromised,H131|Compromised,0.02,spatial
H2|Compromised,H132|Compromised,0.02,spatial
H2|Compromised,H133|Compromised,0.02,spatial
H2|Compromised,H134|Compromised,0.02,spatial
H2|Compromised,H135|Compromised,0.02,spatial
H2|Compromised,H136|Compromised,0.02,spatial
H2|Compromised,H137|Compromised,0.02,spatial
H2|Compromised,H138|Compromised,0.02,spatial
H2|Compromised,H139|Compromised,0.02,spatial
H2|Compromised,H140|Compromised,0.02,spatial
H2|Compromised,H141|Compromised,0.02,spatial
H2|Compromised,H142|Compromised,0.02,spatial
H2|Compromised,H143|Compromised,0.02,spatial
H2|Compromised,H144|Compromised,0.02,spatial
H2|Compromised,H145|Compromised,0.02,spatial
H2|Compromised,H146|Compromised,0.02,spatial
H2|Compromised,H147|Compromised,0.02,spatial
H2|Compromised,H148|Compromised,0.02,spatial
H2|Compromised,H149|Compromised,0.02,spatial
H2|Compromised,H150|Compromised,0.02,spatial
H2|Compromised,H151|Compromised,0.02,spatial
H2|Compromised,H152|Compromised,0.02,spatial
H3|Normal,H3|Compromised,0.030459207484708546,internal
H3|Compromised,H3|Down,0.10536051565782631,internal
H3|Down,H3|Mitigated,0.08338160893905106,internal
H3|Mitigated,H3|Recovered,0.07257069283483544,internal
H3|Compromised,H0|Compromised,0.02,spatial
H3|Compromised,H1|Compromised,0.02,spatial
H3|Compromised,H2|Compromised,0.02,spatial
H3|Compromised,H4|Compromised,0.02,spatial
H3|Compromised,H5|Compromised,0.02,spatial
H3|Compromised,H6|Compromised,0.02,spatial
H3|Compromised,H7|Compromised,0.02,spatial
H3|Compromised,H8|Compromised,0.02,spatial
H3|Compromised,H9|Compromised,0.02,spatial
H3|Compromised,H10|Compromised,0.02,spatial
H3|Compromised,H11|Compromised,0.02,spatial
H3|Compromised,H12|Compromised,0.02,spatial
H3|Compromised,H13|Compromised,0.02,spatial
H3|Compromised,H14|Compromised,0.02,spatial
H3|Compromised,H15|Compromised,0.02,spatial
H3|Compromised,H16|Compromised,0.02,spatial
H3|Compromised,H17|Compromised,0.02,spatial
H3|Compromised,H18|Compromised,0.02,spatial
H3|Compromised,H19|Compromised,0.02,spatial
H3|Compromised,H20|Compromised,0.02,spatial
H3|Compromised,H21|Compromised,0.02,spatial
H3|Compromised,H22|Compromised,0.02,spatial
H3|Compromised,H23|Compromised,0.02,spatial
H3|Compromised,H24|Compromised,0.02,spatial
H3|Compromised,H25|Compromised,0.02,spatial
H3|Compromised,H26|Compromised,0.02,spatial
